Parent Part,Child Part,Qty Per,,,,,
50615-01,K04981,0.2,Oz,,,,
50503-01,K04981,0.2,Oz,,,,
50989-01,K04981,0.2,Oz,,,,
12317-01,K04982,2,Oz,,,,
15169-01,K04982,2,Oz,,,,
12128-01,K04982,2,Oz,,,,
15422-01,K04982,2,Oz,,,,
18754-01,K04982,2,Oz,,,,
18887-01,K04982,2,Oz,,,,
12462-01,K04982,2,Oz,,,,
15395-01,K04982,2,Oz,,,,
13138-01,K04982,2,Oz,,,,
18727-01,K04982,2,Oz,,,,
18088-01,K04982,2,Oz,,,,
18860-01,K04982,2,Oz,,,,
19354-01,K04982,2,Oz,,,,
19381-01,K04982,2,Oz,,,,
17119-01,K04982,2,Oz,,,,
13445-01,K04982,2,Oz,,,,
12595-01,K04982,2,Oz,,,,
12568-01,K04982,2,Oz,,,,
43488-01,K04983,1.5,Oz,,,,
44850-01,K04983,1.5,Oz,,,,
43908-01,K04983,1.5,Oz,,,,
46428-01,K04983,1.5,Oz,,,,
47102-01,K04983,1.5,Oz,,,,
43897-01,K04983,1.5,Oz,,,,
47863-01,K04983,1.5,Oz,,,,
49115-01,K04983,1.5,Oz,,,,
43326-01,K04983,1.5,Oz,,,,
44688-01,K04983,1.5,Oz,,,,
43746-01,K04983,1.5,Oz,,,,
46266-01,K04983,1.5,Oz,,,,
43735-01,K04983,1.5,Oz,,,,
47701-01,K04983,1.5,Oz,,,,
49953-01,K04983,1.5,Oz,,,,
81697-01,K61430,78.04,Lbs,,,,
81738-01,K61430,77.28,Lbs,,,,
80568-01,K61430,67.75,Lbs,,,,
80217-01,K61430,68.48,Lbs,,,,
80850-01,K61430,68.48,Lbs,,,,
80929-01,K61430,98.31,Lbs,,,,
80578-01,K61430,98.08,Lbs,,,,
80211-01,K61430,98.08,Lbs,,,,
86748-01,K61430,98.31,Lbs,,,,
84466-01,K61430,98.31,Lbs,,,,
80846-01,K61430,94.29,Lbs,,,,
82545-01,K61430,33.71,Lbs,,,,
83908-01,K61430,12.98,Lbs,,,,
61025-01,K61430,31.59,Lbs,,,,
61655-01,K61430,10.19,Lbs,,,,
61398-01,K61430,42.04,Lbs,,,,
61502-01,K61430,31.57,Lbs,,,,
61045-01,K61430,16.65,Lbs,,,,
60702-01,K61430,27.6,Lbs,,,,
60524-01,K61430,23.12,Lbs,,,,
60647-01,K61430,23.12,Lbs,,,,
60579-01,K61430,20.19,Lbs,,,,
60068-01,K61430,46.18,Lbs,,,,
60539-01,K61430,39.05,Lbs,,,,
60348-01,K61430,32.03,Lbs,,,,
60484-01,K61430,34.56,Lbs,,,,
60293-01,K61430,38.75,Lbs,,,,
60361-01,K61430,34.56,Lbs,,,,
60225-01,K61430,20.4,Lbs,,,,
62088-01,K61430,18.95,Lbs,,,,
63100-01,K61430,20.98,Lbs,,,,
60742-01,K61430,41.84,Lbs,,,,
60690-01,K61430,8.74,Lbs,,,,
60557-01,K61430,46,Lbs,,,,
60505-01,K61430,9.61,Lbs,,,,
81697-01,K61431,1.95,Lbs,,,,
81738-01,K61431,1.93,Lbs,,,,
80568-01,K61431,1.69,Lbs,,,,
80217-01,K61431,1.71,Lbs,,,,
80850-01,K61431,1.71,Lbs,,,,
80929-01,K61431,2.46,Lbs,,,,
80578-01,K61431,2.45,Lbs,,,,
80211-01,K61431,2.45,Lbs,,,,
86748-01,K61431,2.46,Lbs,,,,
84466-01,K61431,2.46,Lbs,,,,
80846-01,K61431,2.36,Lbs,,,,
82545-01,K61431,0.84,Lbs,,,,
83908-01,K61431,0.32,Lbs,,,,
61025-01,K61432,0.79,Lbs,,,,
61655-01,K61432,0.25,Lbs,,,,
61398-01,K61432,1.05,Lbs,,,,
61502-01,K61432,0.79,Lbs,,,,
61045-01,K61432,0.42,Lbs,,,,
60702-01,K61432,0.69,Lbs,,,,
60524-01,K61432,0.58,Lbs,,,,
60647-01,K61432,0.58,Lbs,,,,
60579-01,K61432,0.5,Lbs,,,,
60068-01,K61432,1.15,Lbs,,,,
60539-01,K61432,0.98,Lbs,,,,
60348-01,K61432,0.8,Lbs,,,,
60484-01,K61432,0.86,Lbs,,,,
60293-01,K61432,0.97,Lbs,,,,
60361-01,K61432,0.86,Lbs,,,,
60225-01,K61432,0.51,Lbs,,,,
62088-01,K61432,0.47,Lbs,,,,
63100-01,K61432,0.52,Lbs,,,,
60742-01,K61432,1.05,Lbs,,,,
60690-01,K61432,0.22,Lbs,,,,
60557-01,K61432,1.15,Lbs,,,,
60505-01,K61432,0.24,Lbs,,,,
81697-01,K61433,0.78,Lbs,,,,
81738-01,K61433,0.77,Lbs,,,,
80568-01,K61433,0.68,Lbs,,,,
80217-01,K61433,0.68,Lbs,,,,
80850-01,K61433,0.68,Lbs,,,,
80929-01,K61433,0.98,Lbs,,,,
80578-01,K61433,0.98,Lbs,,,,
80211-01,K61433,0.98,Lbs,,,,
86748-01,K61433,0.98,Lbs,,,,
84466-01,K61433,0.98,Lbs,,,,
80846-01,K61433,0.94,Lbs,,,,
82545-01,K61433,0.34,Lbs,,,,
83908-01,K61433,0.13,Lbs,,,,
61025-01,K61433,0.32,Lbs,,,,
61655-01,K61433,0.1,Lbs,,,,
61398-01,K61433,0.42,Lbs,,,,
61502-01,K61433,0.32,Lbs,,,,
61045-01,K61433,0.17,Lbs,,,,
60702-01,K61433,0.28,Lbs,,,,
60524-01,K61433,0.23,Lbs,,,,
60647-01,K61433,0.23,Lbs,,,,
60579-01,K61433,0.2,Lbs,,,,
60068-01,K61433,0.46,Lbs,,,,
60539-01,K61433,0.39,Lbs,,,,
60348-01,K61433,0.32,Lbs,,,,
60484-01,K61433,0.35,Lbs,,,,
60293-01,K61433,0.39,Lbs,,,,
60361-01,K61433,0.35,Lbs,,,,
60225-01,K61433,0.2,Lbs,,,,
62088-01,K61433,0.19,Lbs,,,,
63100-01,K61433,0.21,Lbs,,,,
60742-01,K61433,0.42,Lbs,,,,
60690-01,K61433,0.09,Lbs,,,,
60557-01,K61433,0.46,Lbs,,,,
60505-01,K61433,0.1,Lbs,,,,
61025-01,K61435,0.95,Lbs,,,,
61655-01,K61435,0.31,Lbs,,,,
61398-01,K61435,1.26,Lbs,,,,
61502-01,K61435,0.95,Lbs,,,,
61045-01,K61435,0.5,Lbs,,,,
60702-01,K61435,0.83,Lbs,,,,
60524-01,K61435,0.69,Lbs,,,,
60647-01,K61435,0.69,Lbs,,,,
60579-01,K61435,0.61,Lbs,,,,
60068-01,K61435,1.39,Lbs,,,,
60539-01,K61435,1.17,Lbs,,,,
60348-01,K61435,0.96,Lbs,,,,
60484-01,K61435,1.04,Lbs,,,,
60293-01,K61435,1.16,Lbs,,,,
60361-01,K61435,1.04,Lbs,,,,
60225-01,K61435,0.61,Lbs,,,,
62088-01,K61435,0.57,Lbs,,,,
63100-01,K61435,0.63,Lbs,,,,
60742-01,K61435,1.26,Lbs,,,, 
60690-01,K61435,0.26,Lbs,,,,
60557-01,K61435,1.38,Lbs,,,,
60505-01,K61435,0.29,Lbs,,,,
81697-01,K61436,2.34,Lbs,,,,
81738-01,K61436,2.32,Lbs,,,,
80568-01,K61436,2.03,Lbs,,,,
80217-01,K61436,2.05,Lbs,,,,
80850-01,K61436,2.05,Lbs,,,,
80929-01,K61436,2.95,Lbs,,,,
80578-01,K61436,2.94,Lbs,,,,
80211-01,K61436,2.94,Lbs,,,,
86748-01,K61436,2.95,Lbs,,,,
84466-01,K61436,2.95,Lbs,,,,
80846-01,K61436,2.83,Lbs,,,,
82545-01,K61436,1.01,Lbs,,,,
83908-01,K61436,0.39,Lbs,,,,
61025-01,K61437,10,LFT,,,,
61655-01,K61437,7,LFT,,,,
61398-01,K61437,10,LFT,,,,
61502-01,K61437,10,LFT,,,,
61045-01,K61437,5,LFT,,,,
60702-01,K61437,10,LFT,,,,
60524-01,K61437,10,LFT,,,,
60647-01,K61437,10,LFT,,,,
60579-01,K61437,10,LFT,,,,
60068-01,K61437,10,LFT,,,,
60539-01,K61437,10,LFT,,,,
60348-01,K61437,10,LFT,,,,
60484-01,K61437,10,LFT,,,,
60293-01,K61437,10,LFT,,,,
60361-01,K61437,10,LFT,,,,
60225-01,K61437,10,LFT,,,,
62088-01,K61437,10,LFT,,,,
63100-01,K61437,10,LFT,,,,
60742-01,K61437,10,LFT,,,,
60690-01,K61437,7,LFT,,,,
60557-01,K61437,10,LFT,,,,
60505-01,K61437,7,LFT,,,,
81697-01,K99234,0.03,Lb,,,,
81738-01,K99234,0.03,Lb,,,,
80568-01,K99234,0.03,Lb,,,,
80217-01,K99234,0.03,Lb,,,,
80850-01,K99234,0.03,Lb,,,,
80929-01,K99234,0.03,Lb,,,,
80578-01,K99234,0.03,Lb,,,,
80211-01,K99234,0.03,Lb,,,,
86748-01,K99234,0.03,Lb,,,,
84466-01,K99234,0.03,Lb,,,,
80846-01,K99234,0.03,Lb,,,,
82545-01,K99234,0.03,Lb,,,,
83908-01,K99234,0.03,Lb,,,,
61025-01,K99234,0.03,Lb,,,,
61655-01,K99234,0.03,Lb,,,,
61398-01,K99234,0.03,Lb,,,,
61502-01,K99234,0.03,Lb,,,,
61045-01,K99234,0.03,Lb,,,,
60702-01,K99234,0.03,Lb,,,,
60524-01,K99234,0.03,Lb,,,,
60647-01,K99234,0.03,Lb,,,,
60579-01,K99234,0.03,Lb,,,,
60068-01,K99234,0.03,Lb,,,,
60539-01,K99234,0.03,Lb,,,,
60348-01,K99234,0.03,Lb,,,,
60484-01,K99234,0.03,Lb,,,,
60293-01,K99234,0.03,Lb,,,,
60361-01,K99234,0.03,Lb,,,,
60225-01,K99234,0.03,Lb,,,,
62088-01,K99234,0.03,Lb,,,,
63100-01,K99234,0.03,Lb,,,,
60742-01,K99234,0.03,Lb,,,,
60690-01,K99234,0.03,Lb,,,,
60557-01,K99234,0.03,Lb,,,,
60505-01,K99234,0.03,Lb,,,,
J55645,K20115,4,LFt,,,,
J39033,K20115,2.4,LFt,,,,
J39034,K20115,2,LFt,,,,
J16777,K20115,2.4,LFt,,,,
J16778,K20115,3,LFt,,,,
J79840,K20115,3,LFt,,,,
J79841,K20115,1.71,LFt,,,,
J80589,K20115,2.4,LFt,,,,
J60263,K20115,3,LFt,,,,
J99941,K20115,3,LFt,,,,
J99942,K20115,2,LFt,,,,
J79615,K20115,3,LFt,,,,
J97808,K20115,1.71,LFt,,,,
J21445,K20115,0.11,LFt,,,,
J60316,K20115,1.5,LFt,,,,
J70981,K20115,3,LFt,,,,
J80828,K20115,3,LFt,,,,
J60317,K20115,3,LFt,,,,
T13088,K20116,1.2,LFt,,,,
T13089,K20116,2,LFt,,,,
T86323,K20116,2,LFt,,,,
T86324,K20116,2.4,LFt,,,,
T49372,K20117,1.09,LFt,,,,
T49373,K20117,1.71,LFt,,,,
T72525,K20117,2.4,LFt,,,,
T72526,K20117,2.4,LFt,,,,
T50267,K20117,3,LFt,,,,
T50268,K20117,3,LFt,,,,
T92036,K20117,1.33,LFt,,,,
T69778,K20117,2.4,LFt,,,,
T53165,K20117,2,LFt,,,,
T42211,K20117,2.4,LFt,,,,
T61563,K20117,3,LFt,,,,
T55164,K20117,3,LFt,,,,
T65829,K20117,3,LFt,,,,
81697-01,K39476,4,Ea.,,,,
81738-01,K39476,4,Ea.,,,,
80568-01,K39476,4,Ea.,,,,
80217-01,K39476,4,Ea.,,,,
80850-01,K39476,4,Ea.,,,,
80929-01,K39476,4,Ea.,,,,
80578-01,K39476,4,Ea.,,,,
80211-01,K39476,4,Ea.,,,,
86748-01,K39476,4,Ea.,,,,
84466-01,K39476,4,Ea.,,,,
80846-01,K39476,4,Ea.,,,,
82545-01,K39476,4,Ea.,,,,
83908-01,K39476,4,Ea.,,,,
21153-01,K39477,4,Ea.,,,,
21067-01,K39477,4,Ea.,,,,
20469-01,K39477,4,Ea.,,,,
20598-01,K39477,4,Ea.,,,,
20199-01,K39477,4,Ea.,,,,
20494-01,K39477,4,Ea.,,,,
20904-01,K39477,4,Ea.,,,,
20734-01,K39477,4,Ea.,,,,
26789-01,K39477,4,Ea.,,,,
24294-01,K39477,4,Ea.,,,,
20628-01,K39477,4,Ea.,,,,
22314-01,K39477,4,Ea.,,,,
23658-01,K39477,4,Ea.,,,,
21153-01,K39478,4,Ea.,,,,
21067-01,K39478,4,Ea.,,,,
20469-01,K39478,4,Ea.,,,,
20598-01,K39478,4,Ea.,,,,
20199-01,K39478,4,Ea.,,,,
20494-01,K39478,4,Ea.,,,,
20904-01,K39478,4,Ea.,,,,
20734-01,K39478,4,Ea.,,,,
26789-01,K39478,4,Ea.,,,,
24294-01,K39478,4,Ea.,,,,
20628-01,K39478,4,Ea.,,,,
22314-01,K39478,4,Ea.,,,,
23658-01,K39478,4,Ea.,,,,
21153-01,K39479,4,Ea.,,,,
21067-01,K39479,4,Ea.,,,,
20469-01,K39479,4,Ea.,,,,
20598-01,K39479,4,Ea.,,,,
20199-01,K39479,4,Ea.,,,,
20494-01,K39479,4,Ea.,,,,
20904-01,K39479,4,Ea.,,,,
20734-01,K39479,4,Ea.,,,,
26789-01,K39479,4,Ea.,,,,
24294-01,K39479,4,Ea.,,,,
20628-01,K39479,4,Ea.,,,,
22314-01,K39479,4,Ea.,,,,
23658-01,K39479,4,Ea.,,,,
21153-01,K39480,8,Ea.,,,,
21067-01,K39480,8,Ea.,,,,
20469-01,K39480,8,Ea.,,,,
20598-01,K39480,8,Ea.,,,,
20199-01,K39480,8,Ea.,,,,
20494-01,K39480,8,Ea.,,,,
20904-01,K39480,8,Ea.,,,,
20734-01,K39480,8,Ea.,,,,
26789-01,K39480,8,Ea.,,,,
24294-01,K39480,8,Ea.,,,,
20628-01,K39480,8,Ea.,,,,
22314-01,K39480,8,Ea.,,,,
23658-01,K39480,8,Ea.,,,,
21153-01,K39481,4,Ea.,,,,
21067-01,K39481,4,Ea.,,,,
20469-01,K39481,4,Ea.,,,,
20598-01,K39481,4,Ea.,,,,
20199-01,K39481,4,Ea.,,,,
20494-01,K39481,4,Ea.,,,,
20904-01,K39481,4,Ea.,,,,
20734-01,K39481,4,Ea.,,,,
26789-01,K39481,4,Ea.,,,,
24294-01,K39481,4,Ea.,,,,
20628-01,K39481,4,Ea.,,,,
22314-01,K39481,4,Ea.,,,,
23658-01,K39481,4,Ea.,,,,
12317-01,K39529,4,Ea.,,,,
15169-01,K39529,4,Ea.,,,,
12128-01,K39529,4,Ea.,,,,
15422-01,K39529,4,Ea.,,,,
18754-01,K39529,4,Ea.,,,,
18887-01,K39529,4,Ea.,,,,
12462-01,K39529,4,Ea.,,,,
15395-01,K39529,4,Ea.,,,,
13138-01,K39529,4,Ea.,,,,
18727-01,K39529,4,Ea.,,,,
18088-01,K39529,4,Ea.,,,,
18860-01,K39529,4,Ea.,,,,
19354-01,K39529,4,Ea.,,,,
19381-01,K39529,4,Ea.,,,,
17119-01,K39529,4,Ea.,,,,
13445-01,K39529,4,Ea.,,,,
12595-01,K39529,4,Ea.,,,,
12568-01,K39529,4,Ea.,,,,
12317-01,K39530,4,Ea.,,,,
15169-01,K39530,4,Ea.,,,,
12128-01,K39530,4,Ea.,,,,
15422-01,K39530,4,Ea.,,,,
18754-01,K39530,4,Ea.,,,,
18887-01,K39530,4,Ea.,,,,
12462-01,K39530,4,Ea.,,,,
15395-01,K39530,4,Ea.,,,,
13138-01,K39530,4,Ea.,,,,
18727-01,K39530,4,Ea.,,,,
18088-01,K39530,4,Ea.,,,,
18860-01,K39530,4,Ea.,,,,
19354-01,K39530,4,Ea.,,,,
19381-01,K39530,4,Ea.,,,,
17119-01,K39530,4,Ea.,,,,
13445-01,K39530,4,Ea.,,,,
12595-01,K39530,4,Ea.,,,,
12568-01,K39530,4,Ea.,,,,
12317-01,K39531,4,Ea.,,,,
15169-01,K39531,4,Ea.,,,,
12128-01,K39531,4,Ea.,,,,
15422-01,K39531,4,Ea.,,,,
18754-01,K39531,4,Ea.,,,,
18887-01,K39531,4,Ea.,,,,
12462-01,K39531,4,Ea.,,,,
15395-01,K39531,4,Ea.,,,,
13138-01,K39531,4,Ea.,,,,
18727-01,K39531,4,Ea.,,,,
18088-01,K39531,4,Ea.,,,,
18860-01,K39531,4,Ea.,,,,
19354-01,K39531,4,Ea.,,,,
19381-01,K39531,4,Ea.,,,,
17119-01,K39531,4,Ea.,,,,
13445-01,K39531,4,Ea.,,,,
12595-01,K39531,4,Ea.,,,,
12568-01,K39531,4,Ea.,,,,
91023-01,K39532,235,Ea.,,,,
91384-01,K39532,235,Ea.,,,,
90873-01,K39532,155,Ea.,,,,
90006-01,K39532,163,Ea.,,,,
92787-01,K39532,161,Ea.,,,,
93893-01,K39532,195,Ea.,,,,
90607-01,K39532,159,Ea.,,,,
90139-01,K39532,159,Ea.,,,,
91023-01,K39533,32,Ea.,,,,
91384-01,K39533,32,Ea.,,,,
90873-01,K39533,32,Ea.,,,,
90006-01,K39533,32,Ea.,,,,
92787-01,K39533,32,Ea.,,,,
93893-01,K39533,32,Ea.,,,,
90607-01,K39533,32,Ea.,,,,
90139-01,K39533,32,Ea.,,,,
12317-01,K62699,2,Ea.,,,,
15169-01,K62699,2,Ea.,,,,
12128-01,K62699,2,Ea.,,,,
15422-01,K62699,2,Ea.,,,,
18754-01,K62699,2,Ea.,,,,
18887-01,K62699,2,Ea.,,,,
12462-01,K62699,2,Ea.,,,,
15395-01,K62699,2,Ea.,,,,
13138-01,K62699,2,Ea.,,,,
18727-01,K62699,2,Ea.,,,,
18088-01,K62699,2,Ea.,,,,
18860-01,K62699,2,Ea.,,,,
19354-01,K62699,2,Ea.,,,,
19381-01,K62699,2,Ea.,,,,
17119-01,K62699,2,Ea.,,,,
13445-01,K62699,2,Ea.,,,,
12595-01,K62699,2,Ea.,,,,
12568-01,K62699,2,Ea.,,,,
12317-01,K62700,2,Ea.,,,,
15169-01,K62700,2,Ea.,,,,
12128-01,K62700,2,Ea.,,,,
15422-01,K62700,2,Ea.,,,,
18754-01,K62700,2,Ea.,,,,
18887-01,K62700,2,Ea.,,,,
12462-01,K62700,2,Ea.,,,,
15395-01,K62700,2,Ea.,,,,
13138-01,K62700,2,Ea.,,,,
18727-01,K62700,2,Ea.,,,,
18088-01,K62700,2,Ea.,,,,
18860-01,K62700,2,Ea.,,,,
19354-01,K62700,2,Ea.,,,,
19381-01,K62700,2,Ea.,,,,
17119-01,K62700,2,Ea.,,,,
13445-01,K62700,2,Ea.,,,,
12595-01,K62700,2,Ea.,,,,
12568-01,K62700,2,Ea.,,,,
12317-01,K62702,4,Ea.,,,,
15169-01,K62702,4,Ea.,,,,
12128-01,K62702,4,Ea.,,,,
15422-01,K62702,4,Ea.,,,,
18754-01,K62702,4,Ea.,,,,
18887-01,K62702,4,Ea.,,,,
12462-01,K62702,4,Ea.,,,,
15395-01,K62702,4,Ea.,,,,
13138-01,K62702,4,Ea.,,,,
18727-01,K62702,4,Ea.,,,,
18088-01,K62702,4,Ea.,,,,
18860-01,K62702,4,Ea.,,,,
19354-01,K62702,4,Ea.,,,,
19381-01,K62702,4,Ea.,,,,
17119-01,K62702,4,Ea.,,,,
13445-01,K62702,4,Ea.,,,,
12595-01,K62702,4,Ea.,,,,
12568-01,K62702,4,Ea.,,,,
12317-01,K39535,4,Ea.,,,,
15169-01,K39535,4,Ea.,,,,
12128-01,K39535,4,Ea.,,,,
15422-01,K39535,4,Ea.,,,,
18754-01,K39535,4,Ea.,,,,
18887-01,K39535,4,Ea.,,,,
12462-01,K39535,4,Ea.,,,,
15395-01,K39535,4,Ea.,,,,
13138-01,K39535,4,Ea.,,,,
18727-01,K39535,4,Ea.,,,,
18088-01,K39535,4,Ea.,,,,
18860-01,K39535,4,Ea.,,,,
19354-01,K39535,4,Ea.,,,,
19381-01,K39535,4,Ea.,,,,
17119-01,K39535,4,Ea.,,,,
13445-01,K39535,4,Ea.,,,,
12595-01,K39535,4,Ea.,,,,
12568-01,K39535,4,Ea.,,,,
71757-01,K01267,5.33,SqFt,,,,
71815-01,K01267,10.67,SqFt,,,,
71747-01,K01267,10.67,SqFt,,,,
71900-01,K01267,3.56,SqFt,,,,
70621-01,K01267,5.33,SqFt,,,,
70443-01,K01267,5.33,SqFt,,,,
70566-01,K01267,5.33,SqFt,,,,
70498-01,K01267,5.33,SqFt,,,,
70987-01,K01267,8,SqFt,,,,
70458-01,K01267,10.67,SqFt,,,,
70267-01,K01267,10.67,SqFt,,,,
70403-01,K01267,10.67,SqFt,,,,
70212-01,K01267,10.67,SqFt,,,,
70280-01,K01267,10.67,SqFt,,,,
70144-01,K01267,10.67,SqFt,,,,
72007-01,K01267,10.67,SqFt,,,,
73019-01,K01267,10.67,SqFt,,,,
70661-01,K01267,5.33,SqFt,,,,
70609-01,K01267,0.76,SqFt,,,,
70476-01,K01267,8,SqFt,,,,
70424-01,K01267,1.14,SqFt,,,,
S46822,K85421,1,Ea.,,,,
S73252,K85421,1,Ea.,,,,
S89339,K85421,1,Ea.,,,,
43488-01,K98030,1,Ea.,,,,
44850-01,K98030,1,Ea.,,,,
43326-01,K98030,1,Ea.,,,,
44688-01,K98030,1,Ea.,,,,
22314-01,K98031,1,Ea.,,,,
15169-01,K55515,1,Ea.,,,,
15422-01,K55515,1,Ea.,,,,
15395-01,K55515,1,Ea.,,,,
12317-01,K53586,1,Ea.,,,,
15169-01,K53586,1,Ea.,,,,
12128-01,K53586,1,Ea.,,,,
15422-01,K53586,1,Ea.,,,,
18754-01,K53586,1,Ea.,,,,
18887-01,K53586,1,Ea.,,,,
12462-01,K53586,1,Ea.,,,,
15395-01,K53586,1,Ea.,,,,
18727-01,K53586,1,Ea.,,,,
18088-01,K53586,1,Ea.,,,,
18860-01,K53586,1,Ea.,,,,
12317-01,K53584,1,Ea.,,,,
15169-01,K53584,1,Ea.,,,,
12128-01,K53584,1,Ea.,,,,
15422-01,K53584,1,Ea.,,,,
17119-01,K53584,1,Ea.,,,,
12595-01,K53584,1,Ea.,,,,
12568-01,K53584,1,Ea.,,,,
21067-01,K51008,1,Ea.,,,,
20598-01,K51008,1,Ea.,,,,
20904-01,K51008,1,Ea.,,,,
21067-01,K51009,1,Ea.,,,,
20598-01,K51009,1,Ea.,,,,
20904-01,K51009,1,Ea.,,,,
43326-01,K37936,0.001,Ea.,,,,
44688-01,K37936,0.001,Ea.,,,,
43746-01,K37936,0.001,Ea.,,,,
46266-01,K37936,0.001,Ea.,,,,
43735-01,K37936,0.001,Ea.,,,,
47701-01,K37936,0.001,Ea.,,,,
49953-01,K37936,0.001,Ea.,,,,
43326-01,K37937,0.001,Ea.,,,,
44688-01,K37937,0.001,Ea.,,,,
43746-01,K37937,0.001,Ea.,,,,
46266-01,K37937,0.001,Ea.,,,,
43735-01,K37937,0.001,Ea.,,,,
47701-01,K37937,0.001,Ea.,,,,
49953-01,K37937,0.001,Ea.,,,,
43326-01,K37938,0.001,Ea.,,,,
44688-01,K37938,0.001,Ea.,,,,
43746-01,K37938,0.001,Ea.,,,,
46266-01,K37938,0.001,Ea.,,,,
43735-01,K37938,0.001,Ea.,,,,
47701-01,K37938,0.001,Ea.,,,,
49953-01,K37938,0.001,Ea.,,,,
43326-01,K37939,0.001,Ea.,,,,
44688-01,K37939,0.001,Ea.,,,,
43746-01,K37939,0.001,Ea.,,,,
46266-01,K37939,0.001,Ea.,,,,
43735-01,K37939,0.001,Ea.,,,,
47701-01,K37939,0.001,Ea.,,,,
49953-01,K37939,0.001,Ea.,,,,
43326-01,K37940,0.001,Ea.,,,,
44688-01,K37940,0.001,Ea.,,,,
43746-01,K37940,0.001,Ea.,,,,
46266-01,K37940,0.001,Ea.,,,,
43735-01,K37940,0.001,Ea.,,,,
47701-01,K37940,0.001,Ea.,,,,
49953-01,K37940,0.001,Ea.,,,,
43326-01,K37941,0.001,Ea.,,,,
44688-01,K37941,0.001,Ea.,,,,
43746-01,K37941,0.001,Ea.,,,,
46266-01,K37941,0.001,Ea.,,,,
43735-01,K37941,0.001,Ea.,,,,
47701-01,K37941,0.001,Ea.,,,,
49953-01,K37941,0.001,Ea.,,,,
43326-01,K37942,0.001,Ea.,,,,
44688-01,K37942,0.001,Ea.,,,,
43746-01,K37942,0.001,Ea.,,,,
46266-01,K37942,0.001,Ea.,,,,
43735-01,K37942,0.001,Ea.,,,,
47701-01,K37942,0.001,Ea.,,,,
49953-01,K37942,0.001,Ea.,,,,
43326-01,K37943,0.001,Ea.,,,,
44688-01,K37943,0.001,Ea.,,,,
43746-01,K37943,0.001,Ea.,,,,
46266-01,K37943,0.001,Ea.,,,,
43735-01,K37943,0.001,Ea.,,,,
47701-01,K37943,0.001,Ea.,,,,
49953-01,K37943,0.001,Ea.,,,,
43326-01,K37944,0.001,Ea.,,,,
44688-01,K37944,0.001,Ea.,,,,
43746-01,K37944,0.001,Ea.,,,,
46266-01,K37944,0.001,Ea.,,,,
43735-01,K37944,0.001,Ea.,,,,
47701-01,K37944,0.001,Ea.,,,,
49953-01,K37944,0.001,Ea.,,,,
U23263,K85422,1,Ea.,,,,
12317-01,K53585,1,Ea.,,,,
15169-01,K53585,1,Ea.,,,,
12128-01,K53585,1,Ea.,,,,
15422-01,K53585,1,Ea.,,,,
18754-01,K53585,1,Ea.,,,,
18887-01,K53585,1,Ea.,,,,
12462-01,K53585,1,Ea.,,,,
15395-01,K53585,1,Ea.,,,,
18727-01,K53585,1,Ea.,,,,
18088-01,K53585,1,Ea.,,,,
18860-01,K53585,1,Ea.,,,,
17119-01,K53585,1,Ea.,,,,
12595-01,K53585,1,Ea.,,,,
12568-01,K53585,1,Ea.,,,,
15169-01,K55516,1,Ea.,,,,
15422-01,K55516,1,Ea.,,,,
15395-01,K55516,1,Ea.,,,,
61045-01,K61483,0.17,Sqm,,,,
12317-01,K39584,2,Ea.,,,,
15169-01,K39584,2,Ea.,,,,
M18529,K82674,0.05,Kg,,,,
M87714,K82674,0.1,Kg,,,,
T13328,K20118,1.08,,,,,
T41237,K20118,1.08,,,,,
21153-01,K10462,0.05,Gal.,,,,
21067-01,K10462,0.05,Gal.,,,,
20469-01,K10462,0.05,Gal.,,,,
20598-01,K10462,0.05,Gal.,,,,
20199-01,K10462,0.05,Gal.,,,,
20494-01,K10462,0.05,Gal.,,,,
20904-01,K10462,0.05,Gal.,,,,
20734-01,K10462,0.05,Gal.,,,,
26789-01,K10462,0.05,Gal.,,,,
24294-01,K10462,0.05,Gal.,,,,
20628-01,K10462,0.05,Gal.,,,,
22314-01,K10462,0.05,Gal.,,,,
23658-01,K10462,0.05,Gal.,,,,
N38257,K79317,1,Ea.,,,,
N10578,K79317,2,Ea.,,,,
N82899,K79317,3,Ea.,,,,
N82900,K79317,3,Ea.,,,,
N69409,K79317,5,Ea.,,,,
N38257,K39582,2,Ea.,,,,
N10578,K39582,4,Ea.,,,,
N82899,K39582,6,Ea.,,,,
N82900,K39582,6,Ea.,,,,
N16910,K39582,6,Ea.,,,,
N16911,K39582,6,Ea.,,,,
N69409,K39582,10,Ea.,,,,
N38257,K39583,2,Ea.,,,,
N10578,K39583,4,Ea.,,,,
N82899,K39583,6,Ea.,,,,
N82900,K39583,6,Ea.,,,,
N16910,K39583,6,Ea.,,,,
N16911,K39583,6,Ea.,,,,
N69409,K39583,10,Ea.,,,,
91023-01,K39536,176,Ea.,,,,
91384-01,K39536,176,Ea.,,,,
90873-01,K39536,104,Ea.,,,,
90006-01,K39536,104,Ea.,,,,
92787-01,K39536,104,Ea.,,,,
93893-01,K39536,104,Ea.,,,,
90607-01,K39536,112,Ea.,,,,
90139-01,K39536,112,Ea.,,,,
S44754,K39534,0,Ea.,,,,
S52166,K39534,0,Ea.,,,,
S43763,K39534,0,Ea.,,,,
S92690,K39534,0,Ea.,,,,
S79063,K39534,0,Ea.,,,,
S16626,K39580,0,Ea.,,,,
